widget,library,widget_type,autoui_default,options_in_kwargs,value_type,minmax_in_kwargs,tuple_vals_are_int,string_len_is_long,ensure_option_in_kwargs,widget_class_string
IntSlider,ipywidgets,numeric,TRUE,FALSE,int,TRUE,,,,<class 'ipywidgets.widgets.widget_int.IntSlider'>
IntText,ipywidgets,numeric,TRUE,FALSE,int,FALSE,,,,<class 'ipywidgets.widgets.widget_int.IntText'>
IntRangeSlider,ipywidgets,numeric,TRUE,FALSE,tuple,TRUE,TRUE,,,<class 'ipywidgets.widgets.widget_int.IntRangeSlider'>
IntProgress,ipywidgets,numeric,,FALSE,int,TRUE,,,,<class 'ipywidgets.widgets.widget_int.IntProgress'>
BoundedIntText,ipywidgets,numeric,,FALSE,int,TRUE,,,,<class 'ipywidgets.widgets.widget_int.BoundedIntText'>
FloatSlider,ipywidgets,numeric,TRUE,FALSE,float,TRUE,,,,<class 'ipywidgets.widgets.widget_float.FloatSlider'>
FloatText,ipywidgets,numeric,TRUE,FALSE,float,FALSE,,,,<class 'ipywidgets.widgets.widget_float.FloatText'>
FloatRangeSlider,ipywidgets,numeric,TRUE,FALSE,tuple,TRUE,FALSE,,,<class 'ipywidgets.widgets.widget_float.FloatRangeSlider'>
FloatLogSlider,ipywidgets,numeric,,FALSE,tuple,TRUE,,,,<class 'ipywidgets.widgets.widget_float.FloatLogSlider'>
FloatProgress,ipywidgets,numeric,,FALSE,float,TRUE,,,,<class 'ipywidgets.widgets.widget_float.FloatProgress'>
BoundedFloatText,ipywidgets,numeric,,FALSE,float,TRUE,,,,<class 'ipywidgets.widgets.widget_float.BoundedFloatText'>
ToggleButton,ipywidgets,boolean,,FALSE,bool,FALSE,,,,<class 'ipywidgets.widgets.widget_bool.ToggleButton'>
Checkbox,ipywidgets,boolean,TRUE,FALSE,bool,FALSE,,,,<class 'ipywidgets.widgets.widget_bool.Checkbox'>
Valid,ipywidgets,boolean,,FALSE,bool,FALSE,,,,<class 'ipywidgets.widgets.widget_bool.Valid'>
Dropdown,ipywidgets,selection,TRUE,TRUE,Any,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.Dropdown'>
RadioButtons,ipywidgets,selection,,TRUE,Any,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.RadioButtons'>
Select,ipywidgets,selection,,TRUE,Any,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.Select'>
SelectionSlider,ipywidgets,selection,,TRUE,Any,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.SelectionSlider'>
SelectionRangeSlider,ipywidgets,selection,TRUE,TRUE,tuple,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.SelectionRangeSlider'>
ToggleButtons,ipywidgets,selection,,TRUE,Any,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.ToggleButtons'>
SelectMultiple,ipywidgets,selection,TRUE,TRUE,list,FALSE,,,,<class 'ipywidgets.widgets.widget_selection.SelectMultiple'>
Text,ipywidgets,string,TRUE,FALSE,str,FALSE,,FALSE,,<class 'ipywidgets.widgets.widget_string.Text'>
Textarea,ipywidgets,string,TRUE,FALSE,str,FALSE,,TRUE,,<class 'ipywidgets.widgets.widget_string.Textarea'>
Combobox,ipywidgets,string,TRUE,TRUE,Any,FALSE,,,TRUE,<class 'ipywidgets.widgets.widget_string.Combobox'>
Label,ipywidgets,string,,FALSE,str,FALSE,,,,<class 'ipywidgets.widgets.widget_string.Label'>
HTML,ipywidgets,string,,FALSE,str,FALSE,,,,<class 'ipywidgets.widgets.widget_string.HTML'>
HTMLMath,ipywidgets,string,,FALSE,str,FALSE,,,,<class 'ipywidgets.widgets.widget_string.HTMLMath'>
Image,ipywidgets,other,,FALSE,str,FALSE,,,,<class 'ipywidgets.widgets.widget_media.Image'>
Button,ipywidgets,other,,FALSE,None,FALSE,,,,<class 'ipywidgets.widgets.widget_button.Button'>
Output,ipywidgets,other,,FALSE,None,FALSE,,,,<class 'ipywidgets.widgets.widget_output.Output'>
DatePicker,ipywidgets,pickers,TRUE,FALSE,datetime.date,FALSE,,,,<class 'ipywidgets.widgets.widget_date.DatePicker'>
ColorPicker,ipywidgets,pickers,,FALSE,str,FALSE,,,,<class 'ipywidgets.widgets.widget_color.ColorPicker'>
TagsInput,ipywidgets,tags,,FALSE,list,FALSE,,,,
ColorsInput,ipywidgets,tags,,FALSE,list,FALSE,,,,
FloatsInput,ipywidgets,tags,,FALSE,list,FALSE,,,,
IntsInput,ipywidgets,tags,,FALSE,list,FALSE,,,,
FileUpload,ipywidgets,pickers,TRUE,FALSE,None,FALSE,,,,<class 'ipyautoui._custom_widgets.AutoUiFileUpload'>
FileChooser,ipyfilechooser,pickers,TRUE,FALSE,pathlib.Path,FALSE,,,,<class 'ipyautoui._custom_widgets.AutoUiFileChooser'>
DataGrid,ipydatagrid,grid,TRUE,FALSE,pd.DataFrame,FALSE,,,,<class 'ipyautoui._custom_widgets.AutoUiDataGrid'>
